frame_num,x,y,visibility
0,,,0.0
1,,,0.0
2,,,0.0
3,,,0.0
4,,,0.0
5,,,0.0
6,,,0.0
7,1162.0,298.0,1.0
8,1121.0,262.0,1.0
9,1083.0,230.0,1.0
10,1048.0,202.0,1.0
11,1014.0,180.0,1.0
12,986.0,163.0,1.0
13,958.0,148.0,1.0
14,937.0,135.0,1.0
15,913.0,123.0,1.0
16,890.0,116.0,1.0
17,873.0,112.0,1.0
18,866.0,110.0,1.0
19,849.0,105.0,1.0
20,,,0.0
21,,,0.0
22,,,0.0
23,,,0.0
24,,,0.0
25,,,0.0
26,,,0.0
27,,,0.0
28,,,0.0
29,901.0,116.0,1.0
30,911.0,125.0,1.0
31,924.0,135.0,1.0
32,937.0,150.0,1.0
33,946.0,165.0,1.0
34,960.0,181.0,1.0
35,971.0,202.0,1.0
36,986.0,225.0,1.0
37,1001.0,251.0,1.0
38,1016.0,285.0,1.0
39,1035.0,320.0,1.0
40,1050.0,361.0,1.0
41,1066.0,403.0,1.0
42,1085.0,451.0,1.0
43,1102.0,506.0,1.0
44,1119.0,560.0,1.0
45,1136.0,620.0,1.0
46,1151.0,673.0,1.0
47,1166.0,744.0,1.0
48,1177.0,787.0,1.0
49,1200.0,795.0,1.0
50,1216.0,800.0,1.0
51,1233.0,810.0,1.0
52,1250.0,819.0,1.0
53,1273.0,836.0,1.0
54,1290.0,851.0,1.0
55,1415.0,845.0,1.0
56,1320.0,885.0,1.0
57,1335.0,907.0,1.0
58,1338.0,915.0,1.0
59,,,0.0
60,1376.0,975.0,1.0
61,1387.0,997.0,1.0
62,1395.0,1021.0,1.0
63,1402.0,1010.0,1.0
64,1413.0,988.0,1.0
65,1434.0,873.0,1.0
66,1610.0,832.0,1.0
67,1449.0,875.0,1.0
68,1509.0,856.0,1.0
69,1423.0,900.0,1.0
70,1426.0,885.0,1.0
71,1430.0,877.0,1.0
72,,,0.0
73,,,0.0
74,,,0.0
75,1515.0,811.0,1.0
76,1479.0,774.0,1.0
77,1425.0,594.0,1.0
78,1425.0,510.0,1.0
79,1419.0,429.0,1.0
80,1410.0,350.0,1.0
81,1398.0,277.0,1.0
82,1387.0,215.0,1.0
83,1374.0,157.0,1.0
84,1357.0,105.0,1.0
85,1342.0,60.0,1.0
86,1327.0,24.0,1.0
87,1316.0,7.0,1.0
88,,,0.0
89,,,0.0
90,1545.0,736.0,1.0
91,1548.0,723.0,1.0
92,,,0.0
93,,,0.0
94,811.0,26.0,1.0
95,1670.0,613.0,1.0
96,,,0.0
97,,,0.0
98,,,0.0
99,,,0.0
100,1590.0,579.0,1.0
101,1576.0,575.0,1.0
102,,,0.0
103,,,0.0
104,,,0.0
105,,,0.0
106,,,0.0
107,,,0.0
108,,,0.0
109,,,0.0
110,,,0.0
111,,,0.0
112,,,0.0
113,,,0.0
114,,,0.0
115,,,0.0
116,,,0.0
117,,,0.0
118,,,0.0
119,785.0,48.0,1.0
120,,,0.0
121,,,0.0
122,,,0.0
123,,,0.0
124,,,0.0
125,1001.0,16.0,1.0
126,978.0,24.0,1.0
127,208.0,153.0,1.0
128,916.0,48.0,1.0
129,896.0,52.0,1.0
130,868.0,65.0,1.0
131,208.0,165.0,1.0
132,802.0,99.0,1.0
133,210.0,172.0,1.0
134,721.0,146.0,1.0
135,688.0,168.0,1.0
136,635.0,208.0,1.0
137,585.0,247.0,1.0
138,534.0,292.0,1.0
139,772.0,118.0,1.0
140,431.0,395.0,1.0
141,378.0,455.0,1.0
142,328.0,521.0,1.0
143,283.0,588.0,1.0
144,339.0,757.0,1.0
145,208.0,706.0,1.0
146,161.0,729.0,1.0
147,120.0,753.0,1.0
148,84.0,770.0,1.0
149,45.0,796.0,1.0
150,16.0,821.0,1.0
151,5.0,817.0,1.0
152,,,0.0
153,,,0.0
154,,,0.0
155,,,0.0
156,,,0.0
157,,,0.0
158,,,0.0
159,,,0.0
160,58.0,768.0,1.0
161,78.0,746.0,1.0
162,101.0,735.0,1.0
163,121.0,721.0,1.0
164,,,0.0
165,172.0,693.0,1.0
166,200.0,686.0,1.0
167,213.0,656.0,1.0
168,215.0,566.0,1.0
169,226.0,487.0,1.0
170,406.0,697.0,1.0
171,414.0,675.0,1.0
172,423.0,665.0,1.0
173,316.0,211.0,1.0
174,348.0,153.0,1.0
175,380.0,105.0,1.0
176,416.0,56.0,1.0
177,446.0,15.0,1.0
178,461.0,5.0,1.0
179,,,0.0
180,,,0.0
181,,,0.0
182,,,0.0
183,,,0.0
184,465.0,588.0,1.0
185,485.0,592.0,1.0
186,500.0,598.0,1.0
187,,,0.0
188,,,0.0
189,,,0.0
190,,,0.0
191,,,0.0
192,,,0.0
193,,,0.0
194,,,0.0
195,,,0.0
196,,,0.0
197,1680.0,82.0,1.0
198,1691.0,78.0,1.0
199,1693.0,78.0,1.0
200,,,0.0
201,388.0,601.0,1.0
202,373.0,598.0,1.0
203,,,0.0
204,1764.0,56.0,1.0
205,1809.0,534.0,1.0
206,,,0.0
207,,,0.0
208,,,0.0
209,,,0.0
210,,,0.0
211,980.0,18.0,1.0
212,984.0,33.0,1.0
213,,,0.0
214,198.0,976.0,1.0
215,1025.0,71.0,1.0
216,1033.0,78.0,1.0
217,,,0.0
218,1078.0,116.0,1.0
219,1100.0,138.0,1.0
220,1125.0,161.0,1.0
221,1151.0,187.0,1.0
222,1177.0,221.0,1.0
223,1205.0,255.0,1.0
224,1237.0,296.0,1.0
225,1267.0,341.0,1.0
226,1303.0,390.0,1.0
227,1335.0,446.0,1.0
228,1363.0,491.0,1.0
229,1430.0,575.0,1.0
230,,,0.0
231,444.0,570.0,1.0
232,455.0,577.0,1.0
233,,,0.0
234,1411.0,543.0,1.0
235,1391.0,508.0,1.0
236,1372.0,481.0,1.0
237,1355.0,461.0,1.0
238,1338.0,438.0,1.0
239,1320.0,418.0,1.0
240,1305.0,403.0,1.0
241,1288.0,388.0,1.0
242,1275.0,375.0,1.0
243,1267.0,358.0,1.0
244,1263.0,343.0,1.0
245,1256.0,328.0,1.0
246,1248.0,318.0,1.0
247,1243.0,309.0,1.0
248,1235.0,298.0,1.0
249,1228.0,292.0,1.0
250,1220.0,288.0,1.0
251,1215.0,283.0,1.0
252,1207.0,277.0,1.0
253,1205.0,270.0,1.0
254,1200.0,262.0,1.0
255,1196.0,255.0,1.0
256,1192.0,253.0,1.0
257,1188.0,247.0,1.0
258,1185.0,247.0,1.0
259,1181.0,243.0,1.0
260,1177.0,240.0,1.0
261,1175.0,232.0,1.0
262,1171.0,226.0,1.0
263,1171.0,223.0,1.0
264,1170.0,219.0,1.0
265,1168.0,219.0,1.0
266,1168.0,219.0,1.0
267,1168.0,221.0,1.0
268,1166.0,223.0,1.0
269,1166.0,226.0,1.0
270,1162.0,232.0,1.0
271,1162.0,234.0,1.0
